date,close,open,high,low,volume,price_change_pct
2020-01-02,966.67,960.26,966.67,959.67,,0.59
2020-01-03,965.14,968.72,970.88,965.14,,-0.16
2020-01-06,955.79,962.79,963.2,955.59,,-0.97
2020-01-07,958.88,955.79,959.46,953.19,,0.32
2020-01-08,948.98,954.13,955.84,945.28,,-1.03
2020-01-09,960.15,953.86,960.73,952.16,,1.18
2020-01-10,968.54,961.17,969.71,961.17,,0.87
2020-01-13,965.84,966.89,968.63,964.79,,-0.28
2020-01-14,967.0,966.26,968.85,965.76,,0.12
2020-01-15,967.56,967.69,967.69,964.84,,0.06
2020-01-16,974.31,967.2,974.7,967.17,,0.7
2020-01-17,978.96,976.28,980.02,973.79,,0.48
2020-01-20,978.63,978.23,979.85,975.93,,-0.03
2020-01-21,986.37,978.82,986.37,978.82,,0.79
2020-01-22,991.46,986.52,991.46,983.92,,0.52
2020-01-30,959.58,975.15,977.72,954.0,,-3.22
2020-01-31,936.62,959.58,960.96,936.62,,-2.39
2020-02-03,928.14,916.6,930.37,891.85,,-0.91
2020-02-04,929.09,929.42,934.91,919.33,,0.1
2020-02-05,925.91,934.75,936.33,921.89,,-0.34
2020-02-06,938.54,926.66,938.54,925.21,,1.36
2020-02-07,940.75,938.61,943.48,935.94,,0.24
2020-02-10,930.73,934.38,935.87,926.61,,-1.07
2020-02-11,934.67,930.73,936.04,930.73,,0.42
2020-02-12,937.68,940.72,943.11,937.34,,0.32
2020-02-13,938.24,937.19,939.1,934.47,,0.06
2020-02-14,937.45,939.28,940.65,936.47,,-0.08
2020-02-17,934.77,938.52,938.52,931.66,,-0.29
2020-02-18,927.93,934.47,934.98,926.01,,-0.73
2020-02-19,928.76,926.41,931.66,925.86,,0.09
2020-02-20,938.13,933.69,938.13,930.41,,1.01
2020-02-21,933.09,938.13,940.53,932.32,,-0.54
2020-02-24,903.34,917.49,917.49,903.34,,-3.19
2020-02-25,909.67,893.95,909.67,893.95,,0.7
2020-02-26,895.97,901.51,903.27,894.25,,-1.51
2020-02-27,898.44,892.15,899.34,889.14,,0.28
2020-02-28,882.19,885.47,887.07,872.46,,-1.81
2020-03-02,884.43,878.43,886.45,877.31,,0.25
2020-03-03,890.61,895.39,896.39,890.06,,0.7
2020-03-04,889.37,887.85,889.85,882.83,,-0.14
2020-03-05,893.31,892.71,898.43,891.2,,0.44
2020-03-06,891.44,888.96,891.44,882.71,,-0.21
2020-03-09,835.49,875.8,875.8,834.67,,-6.28
2020-03-10,837.5,813.83,843.28,806.63,,0.24
2020-03-11,811.35,843.52,844.94,794.54,,-3.12
2020-03-12,769.25,778.06,778.06,762.12,,-5.19
2020-03-13,761.78,750.56,764.69,723.42,,-0.97
2020-03-16,747.86,758.28,758.59,737.58,,-1.83
2020-03-17,745.78,724.07,750.03,721.84,,-0.28
2020-03-18,747.66,747.4,752.65,742.12,,0.25
2020-03-19,725.94,732.35,733.43,714.02,,-2.91
2020-03-20,709.73,728.55,729.35,709.73,,-2.23
2020-03-23,666.59,694.77,694.77,664.23,,-6.08
2020-03-24,659.21,666.59,666.59,652.27,,-1.11
2020-03-25,690.25,669.76,690.25,667.58,,4.71
2020-03-26,694.21,689.0,700.76,680.1,,0.57
2020-03-27,696.06,692.54,703.22,682.52,,0.27
2020-03-30,662.26,663.91,665.56,657.36,,-4.86
2020-03-31,662.53,669.74,678.64,649.1,,0.04
2020-04-01,680.23,658.8,684.96,657.41,,2.67
2020-04-03,701.8,687.92,701.8,687.92,,3.17
2020-04-06,736.75,716.22,736.75,715.39,,4.98
2020-04-07,746.69,744.97,749.13,730.28,,1.35
2020-04-08,748.02,740.03,748.36,730.12,,0.18
2020-04-09,760.33,751.08,765.87,751.08,,1.65
2020-04-10,757.94,759.08,764.36,751.59,,-0.31
2020-04-13,765.79,762.99,774.62,762.53,,1.04
2020-04-14,767.41,769.01,769.53,753.85,,0.21
2020-04-15,777.22,768.05,779.52,768.01,,1.28
2020-04-16,780.7,773.11,781.06,770.91,,0.45
2020-04-17,789.6,786.96,790.95,783.74,,1.14
2020-04-20,794.97,796.17,797.49,786.73,,0.68
2020-04-21,766.84,794.97,794.97,761.96,,-3.54
2020-04-22,768.92,752.8,774.94,749.97,,0.27
2020-04-23,773.91,768.92,785.6,768.92,,0.65
2020-04-24,776.66,777.28,778.3,767.31,,0.36
2020-04-27,770.77,780.65,785.74,770.77,,-0.76
2020-04-28,767.21,773.31,776.13,763.66,,-0.46
2020-04-29,769.11,768.59,772.62,768.19,,0.25
2020-05-04,762.47,766.14,769.73,761.64,,-0.86
2020-05-05,764.16,763.22,767.03,760.04,,0.22
2020-05-06,782.59,767.3,782.59,765.37,,2.41
2020-05-07,796.54,785.08,796.54,785.08,,1.78
2020-05-08,813.73,800.32,825.72,800.2,,2.16
2020-05-11,828.33,818.26,828.33,812.48,,1.79
2020-05-12,835.32,827.29,835.95,819.66,,0.84
2020-05-13,834.21,835.32,839.59,815.13,,-0.13
2020-05-14,832.4,830.97,836.19,826.17,,-0.22
2020-05-15,827.03,835.42,838.47,824.59,,-0.65
2020-05-18,837.01,827.49,837.61,823.08,,1.21
2020-05-19,845.92,852.14,854.25,844.15,,1.06
2020-05-20,852.91,843.26,852.91,842.21,,0.83
2020-05-21,862.73,854.93,862.73,854.04,,1.15
2020-05-22,852.74,859.29,860.65,852.08,,-1.16
2020-05-25,859.04,852.9,860.45,849.12,,0.74
2020-05-26,869.13,861.47,869.65,860.22,,1.17
2020-05-27,857.48,869.13,875.35,857.48,,-1.34
2020-05-28,861.39,858.97,866.17,856.48,,0.46
2020-05-29,864.47,861.59,866.95,859.26,,0.36
2020-06-01,878.67,868.97,878.67,868.97,,1.64
2020-06-02,874.8,879.23,882.73,874.53,,-0.44
2020-06-03,881.17,876.73,881.17,874.01,,0.73
2020-06-04,883.9,883.22,888.32,883.22,,0.31
2020-06-05,886.22,883.4,886.59,878.5,,0.26
2020-06-08,899.92,888.7,905.65,888.7,,1.55
2020-06-09,899.43,902.26,904.89,898.87,,-0.05
2020-06-10,900.0,898.78,902.69,890.3,,0.06
2020-06-11,867.37,900.48,903.7,867.37,,-3.63
2020-06-12,863.52,841.85,863.52,841.44,,-0.44
2020-06-15,832.47,867.52,868.16,832.47,,-3.6
2020-06-16,856.13,848.86,858.7,844.67,,2.84
2020-06-17,854.44,861.05,861.05,852.27,,-0.2
2020-06-18,855.27,850.92,858.03,847.49,,0.1
2020-06-19,868.56,857.77,868.56,857.77,,1.55
2020-06-22,871.28,871.56,872.94,867.37,,0.31
2020-06-23,868.2,871.12,873.2,864.02,,-0.35
2020-06-24,859.71,868.2,873.13,857.58,,-0.98
2020-06-25,854.59,851.09,856.23,849.65,,-0.6
2020-06-26,851.98,859.07,862.59,850.66,,-0.31
2020-06-29,829.36,846.26,846.53,826.0,,-2.65
2020-06-30,825.11,836.72,840.31,821.92,,-0.51
2020-07-01,843.49,827.67,844.26,826.38,,2.23
2020-07-02,842.38,845.66,845.66,838.48,,-0.13
2020-07-03,847.61,845.26,848.16,843.25,,0.62
2020-07-06,861.16,851.47,861.85,850.04,,1.6
2020-07-07,863.42,865.46,870.63,863.42,,0.26
2020-07-08,864.5,861.75,865.58,859.98,,0.13
2020-07-09,876.46,867.66,878.36,867.45,,1.38
2020-07-10,871.21,873.7,878.53,867.59,,-0.6
2020-07-13,868.72,874.85,876.83,866.99,,-0.29
2020-07-14,868.11,865.01,868.11,860.28,,-0.07
2020-07-15,869.91,872.8,876.69,869.91,,0.21
2020-07-16,876.83,871.81,876.83,869.25,,0.8
2020-07-17,872.02,873.48,875.07,871.89,,-0.55
2020-07-20,861.4,870.66,871.64,861.4,,-1.22
2020-07-21,861.69,863.94,864.7,856.94,,0.03
2020-07-22,855.08,862.8,864.0,854.97,,-0.77
2020-07-23,856.75,854.92,857.22,851.97,,0.2
2020-07-24,829.16,854.23,854.57,816.65,,-3.22
2020-07-27,785.17,794.14,808.74,780.64,,-5.31
2020-07-28,813.36,786.72,814.4,786.67,,3.59
2020-07-29,790.84,800.39,800.39,779.82,,-2.77
2020-07-30,801.13,796.22,802.97,794.88,,1.3
2020-07-31,798.39,787.78,803.55,786.98,,-0.34
2020-08-03,814.65,796.86,814.84,796.47,,2.04
2020-08-04,827.57,822.86,827.57,820.2,,1.59
2020-08-05,837.8,827.54,839.52,820.74,,1.24
2020-08-06,840.04,838.01,844.16,833.56,,0.27
2020-08-07,841.46,840.65,844.33,836.84,,0.17
2020-08-10,843.2,845.11,849.52,843.2,,0.21
2020-08-11,843.08,847.61,847.61,840.35,,-0.01
2020-08-12,846.92,844.19,848.54,842.88,,0.46
2020-08-13,855.05,849.96,855.19,849.86,,0.96
2020-08-14,850.74,854.29,860.32,848.38,,-0.5
2020-08-17,850.15,848.08,852.05,841.62,,-0.07
2020-08-18,846.43,850.15,851.06,845.0,,-0.44
2020-08-19,851.21,847.19,853.15,846.22,,0.56
2020-08-20,848.21,851.21,856.99,847.44,,-0.35
2020-08-21,854.78,849.99,856.45,849.69,,0.77
2020-08-24,868.68,860.35,868.68,860.35,,1.63
2020-08-25,874.12,870.92,877.57,870.92,,0.63
2020-08-26,873.47,873.62,876.97,871.78,,-0.07
2020-08-27,874.71,872.38,875.71,871.93,,0.14
2020-08-28,878.98,878.79,885.86,877.7,,0.49
2020-08-31,881.65,882.13,888.44,879.26,,0.3
2020-09-01,891.73,882.4,892.51,880.79,,1.14
2020-09-03,903.97,898.25,904.32,896.26,,1.37
2020-09-04,901.54,896.02,903.11,893.86,,-0.27
2020-09-07,888.25,903.85,905.8,888.25,,-1.47
2020-09-08,890.14,891.61,894.58,884.88,,0.21
2020-09-09,889.32,883.68,892.4,881.57,,-0.09
2020-09-10,888.82,895.29,896.78,888.82,,-0.06
2020-09-11,888.97,888.82,890.98,884.67,,0.02
2020-09-14,894.57,891.89,895.31,891.89,,0.63
2020-09-15,896.26,896.61,898.74,894.66,,0.19
2020-09-16,897.47,897.43,897.58,894.63,,0.14
2020-09-17,894.04,897.47,899.41,890.93,,-0.38
2020-09-18,900.95,896.08,902.11,895.82,,0.77
2020-09-21,907.94,904.5,909.78,904.5,,0.78
2020-09-22,906.19,905.9,909.69,902.47,,-0.19
2020-09-23,912.5,908.97,913.52,908.97,,0.7
2020-09-24,908.58,910.53,914.51,907.32,,-0.43
2020-09-25,908.27,910.78,911.3,905.56,,-0.03
2020-09-28,912.5,911.2,913.6,910.04,,0.47
2020-09-29,903.98,916.63,917.49,903.98,,-0.93
2020-09-30,905.21,904.34,907.0,900.44,,0.14
2020-10-01,914.09,910.13,914.09,909.13,,0.98
2020-10-02,909.91,914.09,916.67,897.72,,-0.46
2020-10-05,914.68,913.77,915.55,910.96,,0.52
2020-10-06,915.67,918.11,918.93,912.77,,0.11
2020-10-07,919.72,913.62,923.57,912.69,,0.44
2020-10-08,918.84,922.08,922.08,913.89,,-0.1
2020-10-09,924.0,919.48,924.0,917.7,,0.56
2020-10-12,925.83,930.78,933.13,923.28,,0.2
2020-10-13,929.86,926.76,930.96,923.78,,0.44
2020-10-14,940.18,931.89,940.18,931.89,,1.11
2020-10-15,942.76,945.28,945.93,938.7,,0.27
2020-10-16,943.3,944.03,946.23,935.98,,0.06
2020-10-19,943.69,945.01,946.29,941.92,,0.04
2020-10-20,944.42,941.0,944.54,937.32,,0.08
2020-10-21,939.03,947.16,948.2,939.0,,-0.57
2020-10-22,949.9,938.06,949.9,933.78,,1.16
2020-10-23,961.26,953.45,961.26,953.14,,1.2
2020-10-26,950.8,967.52,970.15,950.8,,-1.09
2020-10-27,946.47,950.8,954.72,946.28,,-0.46
2020-10-28,921.05,942.82,946.91,921.05,,-2.69
2020-10-29,919.08,916.49,925.84,914.33,,-0.21
2020-10-30,925.47,925.41,926.32,911.2,,0.7
2020-11-02,933.68,926.09,933.68,924.14,,0.89
2020-11-03,935.41,936.73,937.57,932.18,,0.19
2020-11-04,939.76,935.41,943.56,933.86,,0.47
2020-11-05,937.75,940.32,945.51,937.75,,-0.21
2020-11-06,938.29,939.73,941.2,934.63,,0.06
2020-11-09,951.99,942.15,951.99,942.15,,1.46
2020-11-10,951.9,962.68,963.47,951.9,,-0.01
2020-11-11,952.22,954.46,956.65,947.61,,0.03
2020-11-12,959.28,953.97,959.28,953.62,,0.74
2020-11-13,966.29,959.56,966.29,959.13,,0.73
2020-11-16,950.79,970.11,972.98,950.5,,-1.6
2020-11-17,968.9,955.52,968.9,953.22,,1.9
2020-11-18,973.53,969.48,974.3,966.32,,0.48
2020-11-19,983.26,975.32,983.26,974.33,,1.0
2020-11-20,990.0,984.71,990.0,980.72,,0.69
2020-11-23,994.19,991.87,995.9,985.38,,0.42
2020-11-24,995.76,996.55,997.99,984.92,,0.16
2020-11-25,999.94,1000.39,1002.31,996.8,,0.42
2020-11-26,1005.97,999.24,1005.97,994.91,,0.6
2020-11-27,1010.22,1006.68,1010.22,1004.0,,0.42
2020-11-30,1003.08,1011.82,1012.5,1002.61,,-0.71
2020-12-01,1008.87,988.71,1008.87,988.71,,0.58
2020-12-02,1014.32,1008.77,1015.86,1007.91,,0.54
2020-12-03,1019.8,1016.73,1020.35,1014.06,,0.54
2020-12-04,1021.49,1019.8,1025.17,1018.67,,0.17
2020-12-07,1029.98,1024.34,1030.41,1022.14,,0.83
2020-12-08,1029.26,1029.98,1032.58,1025.63,,-0.07
2020-12-09,1039.13,1029.26,1039.55,1029.26,,0.96
2020-12-10,1030.91,1041.65,1044.1,1030.91,,-0.79
2020-12-11,1045.96,1033.19,1045.96,1030.06,,1.46
2020-12-14,1064.09,1048.97,1064.09,1048.97,,1.73
2020-12-15,1055.27,1062.02,1067.45,1052.01,,-0.83
2020-12-16,1066.99,1058.34,1066.99,1057.21,,1.11
2020-12-17,1051.77,1065.85,1065.85,1051.42,,-1.43
2020-12-18,1067.46,1055.75,1068.56,1055.75,,1.49
2020-12-21,1081.08,1071.62,1081.6,1070.86,,1.28
2020-12-22,1083.45,1081.85,1084.23,1077.06,,0.22
2020-12-23,1078.9,1087.89,1094.09,1077.92,,-0.42
2020-12-24,1067.52,1083.83,1084.76,1046.89,,-1.05
2020-12-25,1084.42,1068.83,1084.42,1061.83,,1.58
2020-12-28,1091.33,1094.37,1096.11,1083.9,,0.64
2020-12-29,1099.49,1090.49,1102.79,1087.93,,0.75
2020-12-30,1097.54,1099.78,1108.83,1094.91,,-0.18
2020-12-31,1103.87,1098.25,1105.33,1096.27,,0.58
2021-01-04,1120.47,1113.77,1126.43,1113.59,,1.5
2021-01-05,1132.55,1116.96,1134.45,1116.49,,1.08
2021-01-06,1143.21,1139.12,1152.85,1133.7,,0.94
2021-01-07,1156.49,1147.26,1156.49,1143.44,,1.16
2021-01-08,1167.69,1164.1,1176.33,1160.48,,0.97
2021-01-11,1184.89,1176.47,1186.45,1175.0,,1.47
2021-01-12,1192.28,1190.38,1192.28,1179.24,,0.62
2021-01-13,1186.05,1197.32,1200.82,1183.18,,-0.52
2021-01-14,1187.4,1189.48,1190.5,1178.84,,0.11
2021-01-15,1194.2,1188.84,1197.74,1188.84,,0.57
2021-01-18,1191.94,1198.79,1200.85,1190.33,,-0.19
2021-01-19,1131.0,1189.91,1189.91,1117.17,,-5.11
2021-01-20,1134.68,1136.5,1142.48,1098.05,,0.33
2021-01-21,1164.21,1146.86,1164.21,1132.66,,2.6
2021-01-22,1166.78,1166.77,1175.72,1161.43,,0.22
2021-01-25,1166.05,1164.2,1172.18,1162.8,,-0.06
2021-01-26,1136.12,1164.97,1164.97,1121.03,,-2.57
2021-01-27,1097.17,1122.41,1132.99,1088.86,,-3.43
2021-01-28,1023.94,1041.71,1052.16,1022.77,,-6.67
2021-01-29,1056.61,998.33,1076.11,998.33,,3.19
2021-02-01,1035.51,1056.61,1074.52,1035.51,,-2.0
2021-02-02,1075.53,1036.95,1075.53,1029.36,,3.86
2021-02-03,1111.29,1084.87,1113.24,1082.95,,3.32
2021-02-04,1112.19,1112.97,1117.88,1098.85,,0.08
2021-02-05,1126.91,1114.79,1126.91,1112.19,,1.32
2021-02-08,1083.18,1127.06,1127.06,1075.1,,-3.88
2021-02-09,1114.93,1090.88,1114.93,1078.98,,2.93
2021-02-17,1155.78,1127.46,1155.78,1127.46,,3.66
2021-02-18,1174.38,1157.1,1174.38,1148.66,,1.61
2021-02-19,1173.5,1160.65,1178.18,1157.6,,-0.07
2021-02-22,1175.04,1173.57,1182.67,1169.12,,0.13
2021-02-23,1177.64,1174.57,1184.32,1168.32,,0.22
2021-02-24,1162.01,1184.32,1185.58,1154.36,,-1.33
2021-02-25,1165.43,1169.97,1169.97,1155.74,,0.29
2021-02-26,1168.47,1148.88,1169.28,1148.88,,0.26
2021-03-01,1186.17,1176.93,1186.82,1174.45,,1.51
2021-03-02,1186.61,1196.16,1196.16,1181.99,,0.04
2021-03-03,1186.95,1184.73,1189.18,1180.25,,0.03
2021-03-04,1168.52,1191.78,1191.9,1159.48,,-1.55
2021-03-05,1168.69,1164.19,1169.56,1155.6,,0.01
2021-03-08,1168.27,1180.33,1181.25,1164.02,,-0.04
2021-03-09,1161.97,1160.96,1166.42,1150.94,,-0.54
2021-03-10,1170.08,1163.86,1170.59,1154.89,,0.7
2021-03-11,1181.73,1170.08,1183.73,1170.08,,1.0
2021-03-12,1181.56,1185.21,1186.52,1178.14,,-0.01
2021-03-15,1184.56,1183.89,1186.06,1178.8,,0.25
2021-03-16,1179.9,1184.91,1184.91,1171.76,,-0.39
2021-03-17,1186.09,1178.64,1186.09,1176.26,,0.52
2021-03-18,1200.94,1196.6,1200.94,1191.94,,1.25
2021-03-19,1194.05,1195.47,1199.67,1191.96,,-0.57
2021-03-22,1194.43,1200.05,1200.21,1189.31,,0.03
2021-03-23,1183.45,1190.28,1191.47,1177.1,,-0.92
2021-03-24,1161.81,1169.42,1174.2,1154.22,,-1.83
2021-03-25,1163.1,1164.41,1170.76,1154.44,,0.11
2021-03-26,1162.21,1162.71,1165.76,1137.9,,-0.08
2021-03-29,1175.68,1169.65,1175.77,1165.78,,1.16
2021-03-30,1186.36,1179.64,1187.29,1172.85,,0.91
2021-03-31,1191.44,1186.36,1196.45,1186.36,,0.43
2021-04-01,1216.1,1194.59,1217.26,1192.83,,2.07
2021-04-02,1224.45,1225.76,1228.29,1221.07,,0.69
2021-04-05,1236.05,1245.28,1245.28,1228.18,,0.95
2021-04-06,1239.96,1233.37,1244.63,1231.14,,0.32
2021-04-07,1242.38,1237.39,1242.38,1232.52,,0.2
2021-04-08,1234.89,1242.38,1246.4,1232.26,,-0.6
2021-04-09,1231.66,1231.51,1234.98,1227.6,,-0.26
2021-04-12,1252.45,1236.79,1252.45,1232.35,,1.69
2021-04-13,1248.33,1262.44,1268.02,1247.66,1030000.0,-0.33
2021-04-14,1255.87,1240.9,1255.87,1233.01,,0.6
2021-04-15,1247.25,1262.25,1265.87,1247.25,,-0.69
2021-04-16,1238.71,1245.06,1254.61,1227.14,,-0.68
2021-04-19,1260.58,1243.58,1260.58,1233.77,,1.77
2021-04-20,1268.28,1267.74,1286.32,1261.28,,0.61
2021-04-22,1227.82,1264.31,1271.98,1227.82,,-3.19
2021-04-23,1248.53,1227.18,1248.53,1216.15,,1.69
2021-04-26,1215.77,1251.25,1251.25,1214.14,,-2.62
2021-04-27,1219.75,1213.84,1220.96,1204.14,,0.33
2021-04-28,1229.55,1220.26,1230.91,1217.49,,0.8
2021-04-29,1239.39,1234.91,1239.39,1231.25,,0.8
2021-05-04,1242.2,1222.08,1242.8,1212.56,,0.23
2021-05-05,1256.43,1244.69,1265.93,1244.69,,1.15
2021-05-06,1250.57,1255.42,1261.49,1246.64,,-0.47
2021-05-07,1241.81,1245.48,1250.5,1231.92,,-0.7
2021-05-10,1259.58,1239.96,1259.58,1236.85,,1.43
2021-05-11,1256.04,1265.11,1272.55,1256.04,,-0.28
2021-05-12,1269.09,1251.97,1269.09,1249.18,,1.04
2021-05-13,1261.99,1262.98,1273.49,1261.99,,-0.56
2021-05-14,1266.36,1266.43,1271.45,1259.97,,0.35
2021-05-17,1258.7,1272.55,1277.83,1258.5,,-0.6
2021-05-18,1252.68,1259.57,1262.22,1249.02,,-0.48
2021-05-19,1262.49,1254.78,1262.71,1250.58,,0.78
2021-05-20,1278.22,1264.62,1278.22,1255.78,,1.25
2021-05-21,1283.93,1272.84,1289.03,1268.46,,0.45
2021-05-24,1297.98,1287.5,1299.83,1287.36,,1.09
2021-05-25,1308.58,1299.19,1308.58,1297.23,,0.82
2021-05-26,1316.7,1308.04,1317.3,1304.68,,0.62
2021-05-27,1303.57,1318.42,1319.67,1299.99,,-1.0
2021-05-28,1320.46,1307.79,1323.09,1300.06,,1.3
2021-05-31,1328.05,1326.65,1328.05,1307.56,,0.57
2021-06-01,1337.78,1329.47,1346.34,1328.84,,0.73
2021-06-02,1340.78,1337.78,1344.98,1330.82,,0.22
2021-06-03,1364.28,1345.21,1366.0,1345.21,,1.75
2021-06-04,1374.05,1367.06,1374.05,1360.42,,0.72
2021-06-07,1358.78,1374.59,1375.74,1347.21,,-1.11
2021-06-08,1319.88,1355.36,1364.48,1318.11,,-2.86
2021-06-09,1332.9,1323.52,1339.14,1312.08,,0.99
2021-06-10,1323.58,1332.9,1336.71,1317.49,,-0.7
2021-06-11,1351.74,1326.79,1352.47,1322.08,,2.13
2021-06-14,1361.72,1352.73,1368.53,1352.73,,0.74
2021-06-15,1367.36,1361.58,1372.72,1356.59,,0.41
2021-06-16,1356.52,1363.85,1370.14,1350.73,,-0.79
2021-06-17,1359.92,1341.06,1364.55,1337.49,,0.25
2021-06-18,1377.77,1366.19,1377.77,1363.52,,1.31
2021-06-21,1372.63,1373.59,1381.74,1367.85,,-0.37
2021-06-22,1379.97,1380.84,1385.98,1375.0,,0.53
2021-06-23,1376.87,1383.15,1388.33,1372.06,,-0.22
2021-06-24,1379.72,1376.87,1384.71,1372.99,,0.21
2021-06-25,1390.12,1382.11,1390.12,1372.8,,0.75
2021-06-28,1405.81,1397.96,1406.02,1390.56,,1.13
2021-06-29,1410.04,1408.34,1416.34,1406.87,,0.3
2021-06-30,1408.55,1410.83,1419.61,1408.18,,-0.11
2021-07-01,1417.08,1412.15,1417.27,1402.18,,0.61
2021-07-02,1420.27,1422.89,1424.28,1415.82,,0.23
2021-07-05,1411.13,1420.27,1421.52,1394.12,,-0.64
2021-07-06,1354.79,1411.13,1418.99,1354.79,,-3.99
2021-07-07,1388.55,1354.79,1388.55,1334.58,,2.49
2021-07-08,1374.68,1388.55,1388.55,1363.92,,-1.0
2021-07-09,1347.14,1374.68,1374.68,1335.9,,-2.0
2021-07-12,1296.3,1347.14,1347.14,1270.06,,-3.77
2021-07-13,1297.54,1296.3,1307.73,1278.3,,0.1
2021-07-14,1279.91,1297.54,1305.37,1264.68,,-1.36
2021-07-15,1293.92,1279.91,1299.18,1270.77,,1.09
2021-07-16,1299.31,1293.92,1304.37,1293.92,,0.42
2021-07-19,1243.51,1299.31,1299.31,1237.79,,-4.29
2021-07-20,1273.29,1243.51,1273.29,1225.52,,2.39
2021-07-21,1270.79,1273.29,1284.33,1266.71,,-0.2
2021-07-22,1293.67,1270.79,1294.16,1266.54,,1.8
2021-07-23,1268.83,1293.67,1295.63,1268.83,,-1.92
2021-07-26,1272.71,1268.83,1277.33,1254.57,,0.31
2021-07-27,1276.93,1272.71,1288.35,1272.71,,0.33
2021-07-28,1277.07,1276.93,1281.17,1271.78,,0.01
2021-07-29,1293.6,1277.07,1293.6,1277.07,,1.29
2021-07-30,1310.05,1293.6,1311.97,1293.6,,1.27
2021-08-02,1314.22,1310.05,1322.35,1304.49,,0.32
2021-08-03,1332.44,1314.22,1332.44,1314.22,,1.39
2021-08-04,1334.74,1332.44,1340.76,1328.4,,0.17
2021-08-05,1345.55,1334.74,1346.62,1326.8,,0.81
2021-08-06,1341.45,1345.55,1351.85,1341.45,,-0.3
2021-08-09,1359.86,1341.45,1361.12,1334.69,,1.37
2021-08-10,1362.43,1359.86,1370.35,1358.12,,0.19
2021-08-11,1357.79,1362.43,1374.03,1357.79,,-0.34
2021-08-12,1353.05,1357.79,1365.01,1353.05,,-0.35
2021-08-13,1357.05,1353.05,1357.41,1336.74,,0.3
2021-08-16,1370.96,1357.05,1372.33,1357.05,,1.03
2021-08-17,1363.09,1370.96,1379.7,1359.11,,-0.57
2021-08-18,1360.94,1363.09,1370.5,1355.83,,-0.16
2021-08-19,1374.85,1360.94,1374.85,1352.94,,1.02
2021-08-20,1329.43,1374.85,1374.85,1317.52,1210000.0,-3.3
2021-08-23,1298.86,1329.43,1329.43,1298.86,,-2.3
2021-08-24,1298.74,1298.86,1307.56,1289.16,,-0.01
2021-08-25,1309.55,1298.74,1310.16,1291.7,,0.83
2021-08-26,1301.12,1309.55,1316.26,1295.77,,-0.64
2021-08-27,1313.2,1301.12,1313.2,1285.16,,0.93
2021-08-30,1328.14,1313.2,1329.62,1313.2,,1.14
2021-08-31,1331.47,1328.14,1336.14,1325.69,,0.25
2021-09-01,1334.65,1331.47,1338.02,1328.13,,0.24
2021-09-06,1346.39,1334.65,1348.36,1334.65,,0.88
2021-09-07,1341.9,1346.39,1353.66,1340.32,,-0.33
2021-09-08,1333.61,1341.9,1344.49,1328.35,,-0.62
2021-09-09,1343.98,1333.61,1345.59,1332.67,,0.78
2021-09-10,1345.31,1343.98,1350.43,1343.98,,0.1
2021-09-13,1341.43,1345.31,1350.69,1340.5,,-0.29
2021-09-14,1339.7,1341.43,1349.13,1336.84,,-0.13
2021-09-15,1345.83,1339.7,1347.7,1334.97,,0.46
2021-09-16,1345.87,1345.83,1353.12,1341.23,,0.0
2021-09-17,1352.64,1345.87,1356.45,1345.87,,0.5
2021-09-20,1350.48,1352.64,1365.92,1349.18,,-0.16
2021-09-21,1339.84,1350.48,1350.48,1324.82,,-0.79
2021-09-22,1350.68,1339.84,1350.71,1336.63,,0.81
